product_name,category,brand,product_id,standard_cost,create_date,update_date
257 GB SSD,SSD,Samsung,24,4500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
Intel i3 11th gen.,CPU,Intel,25,8500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
4GB Graphic card,Graphic Card,Nvidia,26,12500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
9 GB DDR4 RAM,Computer Case,Hynix,27,3500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
BTX motherboard,Mouse,Gigabyte,28,4500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
4 Fans Cabinet,Cabinet,Asus,29,2100.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
Wireless Keyboard,Keyboard,Dell,30,1150.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
USB Mouse,Mouse,Samsung,31,350.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
"19"" LED Display",Monitor,Dell,32,9500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
3 TB HDD,HDD,Western Digital,33,0.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
513 GB M.2,SSD,Samsung,34,6500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
RYZEN 3rd gen. 3501,CPU,Intel,35,8500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
17 GB DDR4 RAM,Computer Case,Hynix,36,6550.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
Standard ATX motherboard,Mouse,Gigabyte,37,7650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
3 TB HDD,HDD,Seagate,38,10000.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
2 TB SSD,SSD,Samsung,39,10500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
5 GB DDR4 Ram,Computer Case,Hynix,40,1680.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
Micro ATX motherboard,Mouse,MSI,41,6540.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
9 GB DDR4 RAM,RAM,Samsung,42,2650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
258 GB SSD,SSD,Samsung,43,4500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
10 GB DDR4 RAM,NIC,Hynix,44,3500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
BTX motherboard,Printer,Gigabyte,45,4500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
5 Fans Cabinet,Cabinet,Asus,46,2100.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
4 TB HDD,HDD,Western Digital,47,0.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
514 GB M.2,SSD,Samsung,48,6500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
RYZEN 3rd gen. 3502,CPU,Intel,49,8500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
18 GB DDR4 RAM,NIC,Hynix,50,6550.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
Standard ATX motherboard,Printer,Gigabyte,51,7650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
4 TB HDD,HDD,Seagate,52,10000.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
3 TB SSD,SSD,Samsung,53,10500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
6 GB DDR4 Ram,NIC,Hynix,54,1680.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
Micro ATX motherboard,Printer,MSI,55,6540.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
10 GB DDR4 RAM,RAM,Samsung,56,2650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
259 GB SSD,SSD,Samsung,57,4500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
11 GB DDR4 RAM,RAM,Hynix,58,3500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
BTX motherboard,Motherboard,Gigabyte,59,4500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
6 Fans Cabinet,Cabinet,Asus,60,2100.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
5 TB HDD,HDD,Western Digital,61,0.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
515 GB M.2,SSD,Samsung,62,6500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
RYZEN 3rd gen. 3503,CPU,Intel,63,8500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
19 GB DDR4 RAM,RAM,Hynix,64,6550.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
Standard ATX motherboard,Motherboard,Gigabyte,65,7650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
5 TB HDD,HDD,Seagate,66,10000.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
4 TB SSD,SSD,Samsung,67,10500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
7 GB DDR4 Ram,RAM,Hynix,68,1680.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
Micro ATX motherboard,Motherboard,MSI,69,6540.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
11 GB DDR4 RAM,RAM,Samsung,70,2650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
260 GB SSD,SSD,Samsung,71,4500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
12 GB DDR4 RAM,Computer Case,Hynix,72,3500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
7 Fans Cabinet,Cabinet,Asus,73,2100.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
6 TB HDD,HDD,Western Digital,74,0.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
516 GB M.2,SSD,Samsung,75,6500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
RYZEN 3rd gen. 3504,CPU,Intel,76,8500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
20 GB DDR4 RAM,Computer Case,Hynix,77,6550.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
6 TB HDD,HDD,Seagate,78,10000.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
5 TB SSD,SSD,Samsung,79,10500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
8 GB DDR4 Ram,Computer Case,Hynix,80,1680.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
12 GB DDR4 RAM,RAM,Samsung,81,2650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
261 GB SSD,SSD,Samsung,82,4500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
13 GB DDR4 RAM,NIC,Hynix,83,3500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
8 Fans Cabinet,Cabinet,Asus,84,2100.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
7 TB HDD,HDD,Western Digital,85,0.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
517 GB M.2,SSD,Samsung,86,6500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
RYZEN 3rd gen. 3505,CPU,Intel,87,8500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
21 GB DDR4 RAM,NIC,Hynix,88,6550.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
7 TB HDD,HDD,Seagate,89,10000.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
6 TB SSD,SSD,Samsung,90,10500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
9 GB DDR4 Ram,NIC,Hynix,91,1680.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
13 GB DDR4 RAM,RAM,Samsung,92,2650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
262 GB SSD,SSD,Samsung,93,4500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
14 GB DDR4 RAM,RAM,Hynix,94,3500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
9 Fans Cabinet,Cabinet,Asus,95,2100.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
8 TB HDD,HDD,Western Digital,96,0.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
518 GB M.2,SSD,Samsung,97,6500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
RYZEN 3rd gen. 3506,CPU,Intel,98,8500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
22 GB DDR4 RAM,RAM,Hynix,99,6550.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
8 TB HDD,HDD,Seagate,100,10000.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
7 TB SSD,SSD,Samsung,101,10500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
10 GB DDR4 Ram,RAM,Hynix,102,1680.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
14 GB DDR4 RAM,RAM,Samsung,103,2650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
263 GB SSD,SSD,Samsung,104,4500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
15 GB DDR4 RAM,Computer Case,Hynix,105,3500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
10 Fans Cabinet,Cabinet,Asus,106,2100.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
9 TB HDD,HDD,Western Digital,107,0.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
519 GB M.2,SSD,Samsung,108,6500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
RYZEN 3rd gen. 3507,CPU,Intel,109,8500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
23 GB DDR4 RAM,Computer Case,Hynix,110,6550.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
9 TB HDD,HDD,Seagate,111,10000.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
8 TB SSD,SSD,Samsung,112,10500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
11 GB DDR4 Ram,Computer Case,Hynix,113,1680.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
15 GB DDR4 RAM,RAM,Samsung,114,2650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
264 GB SSD,SSD,Samsung,115,4500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
16 GB DDR4 RAM,NIC,Hynix,116,3500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
11 Fans Cabinet,Cabinet,Asus,117,2100.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
10 TB HDD,HDD,Western Digital,118,0.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
520 GB M.2,SSD,Samsung,119,6500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
RYZEN 3rd gen. 3508,CPU,Intel,120,8500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
24 GB DDR4 RAM,NIC,Hynix,121,6550.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
10 TB HDD,HDD,Seagate,122,10000.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
9 TB SSD,SSD,Samsung,123,10500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
12 GB DDR4 Ram,NIC,Hynix,124,1680.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
16 GB DDR4 RAM,RAM,Samsung,125,2650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
265 GB SSD,SSD,Samsung,126,4500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
17 GB DDR4 RAM,RAM,Hynix,127,3500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
12 Fans Cabinet,Cabinet,Asus,128,2100.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
11 TB HDD,HDD,Western Digital,129,0.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
521 GB M.2,SSD,Samsung,130,6500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
RYZEN 3rd gen. 3509,CPU,Intel,131,8500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
25 GB DDR4 RAM,RAM,Hynix,132,6550.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
11 TB HDD,HDD,Seagate,133,10000.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
10 TB SSD,SSD,Samsung,134,10500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
13 GB DDR4 Ram,RAM,Hynix,135,1680.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
17 GB DDR4 RAM,RAM,Samsung,136,2650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
266 GB SSD,SSD,Samsung,137,4500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
18 GB DDR4 RAM,Computer Case,Hynix,138,3500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
13 Fans Cabinet,Cabinet,Asus,139,2100.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
12 TB HDD,HDD,Western Digital,140,0.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
522 GB M.2,SSD,Samsung,141,6500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
RYZEN 3rd gen. 3510,CPU,Intel,142,8500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
26 GB DDR4 RAM,Computer Case,Hynix,143,6550.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
12 TB HDD,HDD,Seagate,144,10000.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
11 TB SSD,SSD,Samsung,145,10500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
14 GB DDR4 Ram,Computer Case,Hynix,146,1680.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
18 GB DDR4 RAM,RAM,Samsung,147,2650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
267 GB SSD,SSD,Samsung,148,4500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
19 GB DDR4 RAM,NIC,Hynix,149,3500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
14 Fans Cabinet,Cabinet,Asus,150,2100.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
13 TB HDD,HDD,Western Digital,151,0.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
523 GB M.2,SSD,Samsung,152,6500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
RYZEN 3rd gen. 3511,CPU,Intel,153,8500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
27 GB DDR4 RAM,NIC,Hynix,154,6550.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
13 TB HDD,HDD,Seagate,155,10000.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
12 TB SSD,SSD,Samsung,156,10500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
15 GB DDR4 Ram,NIC,Hynix,157,1680.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
19 GB DDR4 RAM,RAM,Samsung,158,2650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
268 GB SSD,SSD,Samsung,159,4500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
20 GB DDR4 RAM,RAM,Hynix,160,3500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
15 Fans Cabinet,Cabinet,Asus,161,2100.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
14 TB HDD,HDD,Western Digital,162,0.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
524 GB M.2,SSD,Samsung,163,6500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
RYZEN 3rd gen. 3512,CPU,Intel,164,8500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
28 GB DDR4 RAM,RAM,Hynix,165,6550.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
14 TB HDD,HDD,Seagate,166,10000.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
13 TB SSD,SSD,Samsung,167,10500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
16 GB DDR4 Ram,RAM,Hynix,168,1680.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
20 GB DDR4 RAM,RAM,Samsung,169,2650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
269 GB SSD,SSD,Samsung,170,4500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
21 GB DDR4 RAM,Computer Case,Hynix,171,3500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
16 Fans Cabinet,Cabinet,Asus,172,2100.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
15 TB HDD,HDD,Western Digital,173,0.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
525 GB M.2,SSD,Samsung,174,6500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
RYZEN 3rd gen. 3513,CPU,Intel,175,8500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
29 GB DDR4 RAM,Computer Case,Hynix,176,6550.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
15 TB HDD,HDD,Seagate,177,10000.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
14 TB SSD,SSD,Samsung,178,10500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
17 GB DDR4 Ram,Computer Case,Hynix,179,1680.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
21 GB DDR4 RAM,RAM,Samsung,180,2650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
270 GB SSD,SSD,Samsung,181,4500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
22 GB DDR4 RAM,NIC,Hynix,182,3500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
17 Fans Cabinet,Cabinet,Asus,183,2100.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
16 TB HDD,HDD,Western Digital,184,0.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
526 GB M.2,SSD,Samsung,185,6500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
RYZEN 3rd gen. 3514,CPU,Intel,186,8500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
30 GB DDR4 RAM,NIC,Hynix,187,6550.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
16 TB HDD,HDD,Seagate,188,10000.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
15 TB SSD,SSD,Samsung,189,10500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
18 GB DDR4 Ram,NIC,Hynix,190,1680.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
22 GB DDR4 RAM,RAM,Samsung,191,2650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
271 GB SSD,SSD,Samsung,192,4500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
23 GB DDR4 RAM,RAM,Hynix,193,3500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
18 Fans Cabinet,Cabinet,Asus,194,2100.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
17 TB HDD,HDD,Western Digital,195,0.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
527 GB M.2,SSD,Samsung,196,6500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
RYZEN 3rd gen. 3515,CPU,Intel,197,8500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
31 GB DDR4 RAM,RAM,Hynix,198,6550.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
17 TB HDD,HDD,Seagate,199,10000.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
16 TB SSD,SSD,Samsung,200,10500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
19 GB DDR4 Ram,RAM,Hynix,201,1680.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
23 GB DDR4 RAM,RAM,Samsung,202,2650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
272 GB SSD,SSD,Samsung,203,4500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
24 GB DDR4 RAM,Computer Case,Hynix,204,3500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
19 Fans Cabinet,Cabinet,Asus,205,2100.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
18 TB HDD,HDD,Western Digital,206,0.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
528 GB M.2,SSD,Samsung,207,6500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
RYZEN 3rd gen. 3516,CPU,Intel,208,8500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
32 GB DDR4 RAM,Computer Case,Hynix,209,6550.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
18 TB HDD,HDD,Seagate,210,10000.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
17 TB SSD,SSD,Samsung,211,10500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
20 GB DDR4 Ram,Computer Case,Hynix,212,1680.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
24 GB DDR4 RAM,RAM,Samsung,213,2650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
273 GB SSD,SSD,Samsung,214,4500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
25 GB DDR4 RAM,NIC,Hynix,215,3500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
20 Fans Cabinet,Cabinet,Asus,216,2100.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
19 TB HDD,HDD,Western Digital,217,0.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
529 GB M.2,SSD,Samsung,218,6500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
RYZEN 3rd gen. 3517,CPU,Intel,219,8500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
33 GB DDR4 RAM,NIC,Hynix,220,6550.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
19 TB HDD,HDD,Seagate,221,10000.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
18 TB SSD,SSD,Samsung,222,10500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
21 GB DDR4 Ram,NIC,Hynix,223,1680.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
25 GB DDR4 RAM,RAM,Samsung,224,2650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
274 GB SSD,SSD,Samsung,225,4500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
26 GB DDR4 RAM,RAM,Hynix,226,3500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
21 Fans Cabinet,Cabinet,Asus,227,2100.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
20 TB HDD,HDD,Western Digital,228,0.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
530 GB M.2,SSD,Samsung,229,6500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
RYZEN 3rd gen. 3518,CPU,Intel,230,8500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
34 GB DDR4 RAM,RAM,Hynix,231,6550.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
20 TB HDD,HDD,Seagate,232,10000.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
19 TB SSD,SSD,Samsung,233,10500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
22 GB DDR4 Ram,RAM,Hynix,234,1680.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
26 GB DDR4 RAM,RAM,Samsung,235,2650.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
275 GB SSD,SSD,Samsung,236,4500.0,2025-03-27 10:11:33.445898,2025-03-27 10:11:33.446891
